Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
Random,50.53402136085443,24999,12633,12366,0.038272271722248084,94.8678747149886,0.029800496019524322
Probabilistico,50.0060002400096,24999,12501,12498,0.0451174967080961,95.51454058162327,0.030934050716687388
Reglas,49.769990799631984,24999,12442,12557,0.039846981307170876,95.56974278971158,0.028879299018246582
CFR,49.68998759950398,24999,12422,12577,0.05010581534186906,95.50502020080803,0.02813340430810375
