Agente,Partida,Victoria,Tiempo_Jugada_ms,Turnos_Totales
Random,1,0,0.056034988827175565,36
Random,2,1,0.0704351593466366,68
Random,3,0,0.06358159912957086,72
Random,4,0,0.03210888352504996,86
Random,5,0,0.059086700965618265,174
Random,6,0,0.07166147232055664,100
Random,7,1,0.04799593062627883,42
Random,8,0,0.09165026924826883,44
Random,9,1,0.06472875201512897,126
Random,10,1,0.03313010847064811,142
Random,11,0,0.051705276264863854,68
Random,12,0,0.05000195604689577,94
Random,13,1,0.09519457817077637,40
Random,14,0,0.0,42
Random,15,1,0.0,84
Random,16,1,0.07430712381998698,108
Random,17,1,0.08684747359331917,34
Random,18,0,0.05393927214575596,122
Random,19,0,0.0,88
Random,20,1,0.07048249244689941,112
Random,21,0,0.05801253848605686,90
Random,22,0,0.039794506170810796,234
Random,23,0,0.052238619604776076,86
Random,24,0,0.07853087256936465,34
Random,25,1,0.04230936368306478,24
Random,26,1,0.011740661248928162,82
Random,27,0,0.0,54
Random,28,0,0.0,58
Random,29,0,0.0,32
Random,30,0,0.20598543101343614,58
Random,31,1,0.0436711311340332,100
Random,32,0,0.030306407383510044,70
Random,33,0,0.0,98
Random,34,0,0.04857820230764109,286
Random,35,0,0.0,50
Random,36,1,0.0,60
Random,37,0,0.13032724272530036,106
Random,38,0,0.10797381401062012,32
Random,39,0,0.03341312616900668,366
Random,40,0,0.13152758280436197,48
Random,41,1,0.0,88
Random,42,1,0.0,88
Random,43,0,0.16024979678067294,44
Random,44,0,0.04784266153971354,42
Random,45,1,0.035198367371851086,98
Random,46,0,0.049928988306975564,242
Random,47,0,0.04026113134441954,264
Random,48,1,0.07802446683247884,120
Random,49,0,0.078604139130691,232
Random,50,1,0.058432420094807945,84
Random,51,1,0.040669874711470176,110
Random,52,0,0.0957287847995758,64
Random,53,0,0.06829391826282848,110
Random,54,0,0.05334615707397461,96
Random,55,1,0.25464097658793133,24
Random,56,1,0.05636281437344021,72
Random,57,1,0.10804946605975811,26
Random,58,0,0.03956303452000474,66
Random,59,1,0.025224685668945312,80
Random,60,1,0.03402289890107655,84
Random,61,0,0.022564873550877426,132
Random,62,0,0.24509429931640625,28
Random,63,0,0.05427996317545573,114
Random,64,1,0.062407591404059,78
Random,65,0,0.060669753862463906,92
Random,66,1,0.0,88
Random,67,1,0.1273531662790399,38
Random,68,1,0.05031073534930194,54
Random,69,1,0.036209821701049805,48
Random,70,0,0.04834570783249876,94
Random,71,0,0.0,48
Random,72,0,0.0,110
Random,73,1,0.07625359755295974,130
Random,74,0,0.025044690381299268,222
Random,75,1,0.059538831313451133,192
Random,76,0,0.07387820412130917,68
Random,77,1,0.0,66
Random,78,1,0.0,78
Random,79,1,0.09555759884062268,84
Random,80,1,0.016744586004727127,138
Random,81,0,0.09424840250322895,62
Random,82,1,0.0,142
Random,83,0,0.14865839922869645,54
Random,84,1,0.05813274118635389,144
Random,85,1,0.03417513587258079,132
Random,86,0,0.058109515181211664,214
Random,87,0,0.073851323595234,204
Random,88,0,0.0,44
Random,89,1,0.0,50
Random,90,0,0.07359401599780933,222
Random,91,1,0.010868837667065997,172
Random,92,0,0.0,80
Random,93,0,0.10027857713921125,172
Random,94,0,0.0,74
Random,95,1,0.14508024175116357,94
Random,96,1,0.0,30
Random,97,1,0.0,66
Random,98,0,0.11116014399998625,142
Random,99,0,0.0,106
Random,100,0,0.0,42
Random,101,0,0.11196732521057129,184
Random,102,1,0.015511115392049154,120
Random,103,1,0.0,34
Random,104,1,0.1096022434723683,78
Random,105,1,0.10705435717547382,54
Random,106,0,0.06479592550368536,84
Random,107,1,0.0,66
Random,108,0,0.10937114931502433,106
Random,109,1,0.06073171442205255,66
Random,110,1,0.06319814258151583,180
Random,111,0,0.04812456526846256,106
Random,112,1,0.0,22
Random,113,1,0.0,52
Random,114,0,0.1956167675199963,42
Random,115,1,0.06096932425427792,134
Random,116,0,0.0,108
Random,117,0,0.20779456411089217,56
Random,118,0,0.08653967004073293,38
Random,119,0,0.08001327514648438,80
Random,120,1,0.0971064848058364,34
Random,121,0,0.04818764599886808,44
Random,122,1,0.06473064422607422,72
Random,123,0,0.05615374137615336,116
Random,124,1,0.056000550587972,60
Random,125,1,0.03250355416155876,94
Random,126,0,0.0,30
Random,127,1,0.0,94
Random,128,0,0.0696851195191308,278
Random,129,1,0.05466504530473189,220
Random,130,0,0.0,76
Random,131,0,0.31724729036030014,38
Random,132,0,0.01809086118425642,140
Random,133,1,0.0,96
Random,134,0,0.12622957360254575,146
Random,135,1,0.0,34
Random,136,1,0.0,44
Random,137,1,0.07648217050652754,190
Random,138,1,0.0,110
Random,139,0,0.0,44
Random,140,0,0.14882806747678726,126
Random,141,1,0.03898143768310547,44
Random,142,1,0.0471602315488069,46
Random,143,0,0.0,42
Random,144,0,0.0,70
Random,145,0,0.11597900855831983,164
Random,146,0,0.06456350542835353,194
Random,147,1,0.04781427837553478,84
Random,148,0,0.05058790075367895,116
Random,149,1,0.06820261478424072,144
Random,150,1,0.0,34
Random,151,1,0.0,58
Random,152,1,0.0,48
Random,153,0,0.0985925700388798,294
Random,154,1,0.03784989553784567,126
Random,155,0,0.06836528579394023,192
Random,156,1,0.05430286213503046,118
Random,157,1,0.0,46
Random,158,0,0.04374481246856872,334
Random,159,0,0.14601945877075195,100
Random,160,1,0.04470348358154297,90
Random,161,1,0.03941974254569622,198
Random,162,0,0.0,104
Random,163,0,0.13121918066224056,134
Random,164,0,0.056883074202627504,106
Random,165,0,0.04568425091830167,44
Random,166,1,0.049925767458402194,156
Random,167,0,0.06416757056053649,94
Random,168,0,0.059113782994887405,68
Random,169,0,0.06076597398327243,62
Random,170,1,0.0775593977708083,26
Random,171,1,0.06699721018473308,150
Random,172,1,0.0673532485961914,26
Random,173,0,0.0,34
Random,174,1,0.07497347318209134,104
Random,175,1,0.0,48
Random,176,1,0.0,84
Random,177,0,0.07217255505648526,220
Random,178,0,0.0,52
Random,179,0,0.0,40
Random,180,0,0.25841167994907926,70
Random,181,0,0.050324201583862305,40
Random,182,0,0.06308034062385559,64
Random,183,0,0.08748406949250594,46
Random,184,0,0.06881222796084276,134
Random,185,1,0.0,102
Random,186,1,0.32576173543930054,32
Random,187,0,0.09010933540962837,74
Random,188,1,0.0,80
Random,189,1,0.1356292653966833,108
Random,190,1,0.07406870524088542,42
Random,191,1,0.06373226642608643,144
Random,192,0,0.13656748665703666,36
Random,193,1,0.10225406059852013,26
Random,194,0,0.056515230196658696,214
Random,195,0,0.03618001937866211,112
