Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
Random,50.42601704068163,49998,25212,24786,0.03561540022225645,94.70770830833233,0.03299630711992069
Reglas,50.11200448017921,49998,25055,24943,0.03691337046051206,94.741869674787,0.033281686184427374
Probabilistico,49.83599343973759,49998,24917,25081,0.040074975945634896,94.69578783151326,0.03473236155069527
CFR,49.62598503940158,49998,24812,25186,0.04519651432408686,94.38009520380815,0.03169278283488822
