Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
Probabilistico,53.81526104417671,249,134,115,0.06415188568539637,99.00401606425703,0.08191807389553522
CFR,52.610441767068274,249,131,118,0.07058904260736001,91.67871485943775,0.08375450898584857
Random,47.389558232931726,249,118,131,0.06045284330766633,97.855421686747,0.08123244108828907
Reglas,46.1847389558233,249,115,134,0.05721132001889123,95.1566265060241,0.07535002317767701
