Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
CFR,51.4405762304922,4998,2571,2427,0.039806965264605566,96.14085634253702,0.07839043928069378
Probabilistico,49.73989595838335,4998,2486,2512,0.035054688145919825,94.48019207683073,0.07337630239865685
Random,49.499799919967984,4998,2474,2524,0.03216844193349703,95.1624649859944,0.06948921933190201
Reglas,49.31972789115646,4998,2465,2533,0.031742952081902726,95.34813925570228,0.06610931401655243
