Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
Probabilistico,51.24999999999999,1200,615,585,0.03368429227684766,97.85166666666667,0.06606897137537023
Agresivo,51.083333333333336,1200,613,587,0.02940302432398741,98.18,0.06297873072374639
Reglas,49.666666666666664,1200,596,604,0.030366313538960528,95.92333333333333,0.06636542269938708
Random,49.583333333333336,1200,595,605,0.028627996383895692,96.68166666666667,0.05644692244201598
CFR,48.41666666666667,1200,581,619,0.0389820812107944,96.25,0.07366088548371205
