Agente,Tasa_Victoria_%,Partidas_Jugadas,Victorias,Derrotas,Tiempo_Promedio_Jugada_ms,Turnos_Promedio_Por_Juego,Desv_Est_Tiempo_ms
CFR,55.82329317269076,249,139,110,0.0734378140536931,91.42168674698796,0.06022243272382392
Reglas,51.40562248995983,249,128,121,0.060316491469646946,94.42570281124497,0.0555579088161955
Probabilistico,46.98795180722892,249,117,132,0.061140678249086415,99.22088353413655,0.05857778937221177
Random,45.78313253012048,249,114,135,0.06035359833219257,95.23694779116465,0.05865703977771289
